Impressions,Saves,Comments,Shares,Likes,Profile Visits,Follows,Hashtag Count,Caption Length,Engagement Rate
3920,98,9,5,162,35,2,0,0,6.9897959183673475
5394,194,7,14,224,48,10,0,0,8.138672599184279
4021,41,11,1,131,62,12,0,0,4.575976125341954
4528,172,10,7,213,23,8,0,0,8.87809187279152
2518,96,5,4,123,8,0,0,0,9.054805401111993
3884,74,7,10,144,9,2,0,0,6.050463439752832
2621,22,5,1,76,26,0,0,0,3.967951163677985
3541,135,4,9,124,12,6,0,0,7.681445919231855
3749,155,6,8,159,36,4,0,0,8.748999733262202
4115,122,6,3,191,31,6,0,0,7.825030376670716
2218,28,6,3,81,29,4,0,0,5.320108205590622
3234,122,8,14,151,15,0,0,0,9.12183055040198
4344,119,7,11,162,8,2,0,0,6.8830570902394115
3216,121,5,5,142,20,4,0,0,8.488805970149253
9453,100,6,10,294,181,42,0,0,4.337247434676822
5055,101,7,11,159,17,6,0,0,5.499505440158259
4002,111,17,18,205,16,2,0,0,8.770614692653673
3169,106,8,1,121,21,2,0,0,7.44714420952982
6168,82,6,6,151,77,30,0,0,3.972114137483787
2407,40,8,20,72,10,0,0,0,5.8163689239717495
2064,49,4,5,76,9,0,0,0,6.492248062015504
3973,72,3,4,91,11,24,0,0,4.278882456581928
7281,167,7,9,195,144,100,0,0,5.19159456118665
3052,63,5,14,129,14,2,0,0,6.9134993446920046
4628,144,8,3,160,10,4,0,0,6.806395851339672
4082,135,11,5,175,19,6,0,0,7.986281234688879
5394,61,19,6,147,69,6,0,0,4.31961438635521
2766,40,10,4,114,11,6,0,0,6.073752711496746
3924,139,11,3,151,19,2,0,0,7.747196738022426
3015,52,11,4,92,9,2,0,0,5.273631840796019
6666,84,9,3,214,57,20,0,0,4.65046504650465
3854,81,11,15,150,13,2,0,0,6.668396471198755
4355,79,8,4,122,11,4,0,0,4.890929965556831
4343,105,6,3,152,24,8,0,0,6.124798526364264
6108,90,7,8,196,81,26,0,0,4.927963326784545
2523,34,6,0,86,4,2,0,0,4.9940546967895365
2327,45,3,3,85,7,2,0,0,5.844434894714224
3990,98,4,11,156,14,4,0,0,6.741854636591478
2191,35,2,1,72,18,0,0,0,5.020538566864445
